words,ebay_trend,arima_trend,lstm_trend,sarima_trend,tes_trend,ma_trend
ang.q_Hēafodsīde,True,False,False,True,False,False
ar_11_يناير,True,False,True,True,False,True
ar_1_يناير,False,False,True,False,False,True
ar_2008,True,False,False,True,True,False
ar_2016,True,True,False,False,False,False
ar_6_يناير,True,True,True,True,True,False
ar_8_يناير,True,False,True,False,False,True
ar_9_يناير,True,False,True,True,True,True
ar_A,False,False,False,False,False,False
ar_F,False,False,False,False,False,False
ar_Y,False,False,False,False,False,False
ar_آدم_سميث,True,False,False,False,True,False
ar_آر_إم_إس_تيتانيك,False,False,False,True,False,False
ar_آسيا_الوسطى,False,False,True,False,False,False
ar_آشور,False,False,True,False,False,False
ar_آل_الأسد,False,False,True,False,False,False
ar_آل_باتشينو,False,False,False,False,False,False
ar_آمال_ماهر,False,False,False,False,False,False
ar_آن_ملكة_بريطانيا_العظمى,False,False,False,False,False,False
ar_آي_فون,False,False,False,False,False,False
ar_آيا_صوفيا,False,False,False,False,False,False
ar_آيسلندا,False,False,False,True,False,False
ar_أبراهام_لينكون,False,False,False,False,False,False
ar_أبو_الريحان_البيروني,False,False,True,True,False,True
ar_أبو_العتاهية,False,False,False,False,False,False
ar_أبو_القاسم_الشابي,False,False,True,False,False,False
ar_أبو_الهول,False,False,False,False,False,False
ar_أبو_بكر_الرازي,False,False,True,True,True,False
ar_أبو_تمام,False,False,False,False,False,False
ar_أبو_جهل,False,False,False,False,False,False
ar_أبو_ذر_الغفاري,False,False,False,False,False,False
ar_أبو_زيد_الهلالي,False,False,False,False,False,False
ar_أبو_سفيان_بن_حرب,False,False,False,False,False,False
ar_أبو_طالب_بن_عبد_المطلب,False,False,False,False,False,False
ar_أبو_عبيدة_بن_الجراح,True,False,False,True,False,False
ar_أبو_فراس_الحمداني,False,False,True,True,False,True
ar_أحادي_أكسيد_الكربون,True,False,True,True,False,True
ar_أحكام_النون_الساكنة_والتنوين,False,False,True,True,False,False
ar_أحلام_مستغانمي,False,False,False,False,False,False
ar_أحمد_أبو_هشيمة,False,False,False,False,False,False
ar_أحمد_أمين,False,False,True,True,False,False
ar_أحمد_الأول,False,False,True,False,False,False
ar_أحمد_السقا,False,False,False,False,False,False
ar_أحمد_الفيشاوي,False,False,False,False,False,False
ar_أحمد_حسام,False,False,False,False,False,False
ar_أحمد_حلمي,False,False,True,False,False,False
ar_أحمد_حمودي,False,False,False,False,False,False
ar_أحمد_ديدات,False,False,True,True,False,False
ar_أحمد_راتب,False,False,False,False,False,False
ar_أحمد_زكي,False,False,True,False,False,False
ar_أحمد_زويل,False,False,False,False,False,False
ar_أحمد_شوقي,False,False,True,False,False,True
ar_أحمدية_(طائفة),False,False,False,True,False,False
ar_أخلاقيات_الأعمال,False,False,False,False,False,False
ar_أدب,False,False,True,False,False,False
ar_أدرينالين,False,False,False,False,False,False
ar_أدوات_الشرط_الجازمة,False,False,False,False,False,False
ar_أدولف_هتلر,False,False,False,False,False,False
ar_أديان_إبراهيمية,True,False,False,False,False,False
ar_أذربيجان,False,False,False,False,False,False
ar_أرامكو_السعودية,False,False,False,False,False,False
ar_أرثوذكسية,False,False,False,False,False,False
ar_أرثوذكسية_شرقية,False,False,False,False,False,False
ar_أرقام_عربية,False,False,False,False,False,False
ar_أرقام_هندية,False,False,False,True,False,False
ar_أرمن,True,False,False,False,False,False
ar_أرنولد_شوارزنيجر,False,False,True,False,False,False
ar_أساسنز_كريد,True,False,False,False,True,False
ar_أساسنز_كريد_(فيلم),False,False,False,True,False,False
ar_أساسيات_خطة_البحث_العلمي,False,False,True,True,False,False
ar_أسامة_بن_لادن,False,False,False,False,False,False
ar_أستانة,False,False,False,False,False,False
ar_أسد,False,False,True,True,False,False
ar_أسرة_عبد_العزيز_بن_عبد_الرحمن_آل_سعود,False,False,False,False,False,False
ar_أسرة_عبد_الله_بن_عبد_العزيز_آل_سعود,False,False,False,False,False,False
ar_أسطورة,False,False,False,False,False,False
ar_أسمنت,False,True,True,True,False,True
ar_أسمهان,False,False,False,False,False,False
ar_أسيل_عمران,False,False,False,True,False,False
ar_أشعرية,False,False,False,False,False,False
ar_أصالة_نصري,False,False,False,False,False,False
ar_أصحاب_الكهف,False,False,False,False,False,False
ar_أصوات_الحيوانات,False,False,False,False,False,False
ar_أعياد_مسيحية,False,False,False,True,True,False
ar_أفريقيا,False,False,False,False,False,False
ar_أفغانستان,False,False,False,False,False,False
ar_أكتوبر,False,False,False,False,False,False
ar_أكثر_الكلمات_الإنجليزية_شيوعا,False,False,False,True,False,False
ar_أكسجين,False,False,True,False,False,False
ar_ألاسكا,False,False,False,True,False,False
ar_ألب_أرسلان,False,False,False,False,False,False
ar_ألبانيا,False,False,False,False,False,False
ar_ألفية_ابن_مالك,True,False,False,False,True,False
ar_ألكسندر_غراهام_بيل,False,False,True,False,False,False
ar_ألماس,False,False,False,False,False,False
ar_ألمانيا,False,False,False,False,False,False
ar_ألومنيوم,False,False,False,False,False,False
ar_أليكسس_تكساس,False,False,False,False,False,False
ar_أم_سلمة,False,False,False,True,False,False
ar_أمازيغ,False,False,True,False,False,False
ar_أمريكا_الجنوبية,True,False,False,True,False,False
ar_أمل_بوشوشة,False,False,False,True,False,False
ar_أمل_عرفة,False,False,False,True,False,False
ar_أمونياك,False,False,True,True,False,True
ar_أميتاب_باتشان,False,False,False,False,False,False
ar_أناضول,False,False,False,True,False,False
ar_أنجلينا_جولي,False,False,False,False,False,False
ar_أنس_بن_مالك,False,False,False,False,False,False
ar_أنغيلا_ميركل,False,False,False,True,False,False
ar_أنمي,False,False,False,False,False,False
ar_أنواع_مهددة_بالانقراض,False,False,False,False,False,True
ar_أهل_البيت,False,False,False,False,False,False
ar_أوبك,False,False,False,False,False,False
ar_أوراكل,True,False,False,False,False,False
